Sorter,false_negative_rate,false_positive_rate,error_rate,matched_spikes,total_ground_truth_spikes,total_sorter_spikes,accuracy
HS,0.011911207363291824,0.7130503144654088,0.36248076091435033,23725,24011,82680,64.2247303319312
CSC,0.0,0.8893747005270723,0.4446873502635362,24011,24011,217048,91.16654866519512
HS,0.00029153304735329643,0.8838045724962847,0.442048052771819,24004,24011,206583,55.595352130273625
CSC,0.0,0.8893747005270723,0.4446873502635362,24011,24011,217048,90.94165174295115
CSC_HSdict,0.0,0.9991729105131268,0.4995864552565634,24011,24011,29030716,36.25005205947274
HS,0.00024988546915996835,0.8816619094803575,0.4409558974747587,24005,24011,202851,57.31956186747741
CSC,0.0,0.8180088680031834,0.4090044340015917,24011,24011,131935,91.49139977510308
CSC_HSdict,0.0,0.9991688346106531,0.49958441730532654,24011,24011,28888354,37.74103535879389
HS,0.0009162467202532173,0.8871806689491704,0.4440484578347118,23989,24011,212632,55.09558119195369
CSC,0.0,0.8984190241694271,0.44920951208471355,24011,24011,236373,91.6579900878764
CSC_HSdict,0.0,0.9992191533796291,0.49960957668981454,24011,24011,30749957,37.25375869393195
HS,0.00029153304735329643,0.8887374734636742,0.4445145032555137,24004,24011,215742,59.426929324059806
CSC,0.0,0.9038448446404043,0.45192242232020213,24011,24011,249711,91.24567906376244
CSC_HSdict,0.0,0.9991772038273883,0.49958860191369414,24011,24011,29182197,37.582774561659235
