Id,Support,Start,End,Strand,Length,REMNANT_&_PROPHAGE_location,PROPHAGE_ANNOTATION_NEW,SAMYPH_annotation,PSEUDOGENE,SMBGC,Protein_product,Protein_ID,GO_ID,Product_name,Product_Uniprot,MP24,MP30,MP36,MP48,MP72,Ycongo24,Y24,Y48,MM,SAF,NAG,ONA,HT,REGULATED_HT_vs_MM,MP24_RPKLOG2,MP30_RPKLOG2,MP36_RPKLOG2,MP48_RPKLOG2,MP72_RPKLOG2,MM_RPKLOG2,NAG_RPKLOG2,ONA_RPKLOG2,HT_RPKLOG2,SAF_RPKLOG2,Y24_RPKLOG2,Ycongo24_RPKLOG2,Y48_RPKLOG2,CAT_MP24,CAT_MP30,CAT_MP36,CAT_MP48,CAT_MP72,CAT_MM,CAT_NAG,CAT_ONA,CAT_HT,CAT_SAF,CAT_Y24,CAT_Ycongo24,CAT_Y48,FoldChange_HTvsMM,log2FoldChange_HTvsMM,stat_HTvsMM,pvalue_HTvsMM,padj_HTvsMM,FoldChange_NAGvsMM,log2FoldChange_NAGvsMM,stat_NAGvsMM,pvalue_NAGvsMM,padj_NAGvsMM,FoldChange_ONAvsMM,log2FoldChange_ONAvsMM,stat_ONAvsMM,pvalue_ONAvsMM,padj_ONAvsMM,FoldChange_HTvsMP24,log2FoldChange_HTvsMP24,stat_HTvsMP24,pvalue_HTvsMP24,padj_HTvsMP24
SAM23877_RS40945,NZ_CP012382.1,889,954,-,66,NA,NA,NA,NA,NA,WP_244903047.1,NA,NA,DUF6199 family natural product biosynthesis protein,NA,17,53,132,24,176,33,35,101,54,844,82,528,360,False,8.1,9.7,11,8.6,11.4,9.7,10.3,13,12.4,13.6,9.1,9,10.6,2,3,3,2,3,3,3,3,3,3,2,2,3,1.985,0.989,1.834,0.0667,0.161421866245186,1.086,0.119,0.363999999999999,0.716043491435522,0.847609511155925,2.55,1.35,2.205,0.0275,0.0831,10.307,3.366,3.28399999999999,0.00102,0.00186
SAM23877_RS00010,NZ_CP012382.1,1318,1479,-,162,NA,NA,NA,NA,NA,WP_159041943.1,WP_159041943.1,A0A0K2AJN2,hypothetical protein,Uncharacterized protein,7,18,38,6,125,11,9,41,26,570,57,224,69,False,5.6,6.9,7.9,5.4,9.6,7.4,8.5,10.4,8.8,11.8,5.9,6.2,8,1,1,2,0,2,1,2,3,2,3,1,1,2,1.272,0.347,0.891,0.373173265662648,0.560450391789812,1.164,0.219,0.665,0.505749333266236,0.695975317299539,2.157,1.109,1.975,0.0483,0.127560929005621,5.012,2.325,2.32799999999999,0.0199,0.0298
SAM23877_RS00015,NZ_CP012382.1,1587,1883,-,297,NA,NA,NA,NA,NA,WP_053141967.1,WP_053141967.1,A0A0K2B6B1,hypothetical protein,Uncharacterized protein,6,22,40,9,74,11,8,52,8,310,36,147,85,False,4.6,6.3,7.1,5.1,8,4.9,7,9,8.2,10,4.9,5.3,7.5,0,1,1,0,2,0,1,2,2,3,1,1,1,2.42,1.275,2.056,0.0398,0.109699429246682,1.335,0.417,1.18399999999999,0.236215809522162,0.438285200490247,3.699,1.887,2.55399999999999,0.0107,0.0399,6.644,2.732,2.672,0.00754,0.0121
SAM23877_RS00020,NZ_CP012382.1,2597,5257,+,2661,NA,NA,NA,NA,NA,WP_079029930.1,WP_079029930.1,A0A0K2AJ28,DEAD/DEAH box helicase,Putative helicase,150,143,127,220,260,174,193,286,311,261,202,276,283,False,5.8,5.8,5.6,6.4,6.6,6.9,6.3,6.7,6.7,6.6,6.2,6,6.8,1,1,1,1,1,1,1,1,1,1,1,1,1,0.93,-0.105,-0.476999999999999,0.633634252178042,0.779420806114539,0.72,-0.474,-1.857,0.0633,0.17779215215656,0.919,-0.121,-0.587999999999999,0.556289786929643,0.721631114354509,1.857,0.893,3.36399999999999,0.000767,0.00141
SAM23877_RS40950,NZ_CP012382.1,5467,5931,-,465,NA,NA,NA,NA,NA,WP_053125580.1,NA,NA,hypothetical protein,NA,4,12,9,13,19,12,16,16,37,19,18,11,21,False,3.4,4.8,4.4,4.9,5.4,6.4,5.4,4.7,5.6,5.4,5.2,4.8,5.2,0,0,0,0,1,1,1,0,0,0,1,1,0,0.77,-0.377,-1.155,0.248097468137458,0.427542346011826,0.726,-0.463,-1.28899999999999,0.197366604690195,0.391997434661913,0.504,-0.99,-2.238,0.0252,0.0777,4.466,2.159,3.43199999999999,0.0006,0.00112
SAM23877_RS00030,NZ_CP012382.1,6308,6784,+,477,NA,NA,NA,NA,NA,WP_244902867.1,WP_053125582.1,Q1RR82,hypothetical protein,Uncharacterized protein SAMT0003,74,250,2848,11962,4390,119,102,3247,8864,5419,5210,5367,7174,False,7.3,9,12.5,14.6,13.2,14.2,13.4,13.5,13.9,13.5,7.8,8,12.7,1,2,3,3,3,3,3,3,3,3,2,2,3,0.867,-0.205,-0.830999999999999,0.406022634901679,0.591189026899893,0.685,-0.546,-1.905,0.0568,0.164616808098093,0.689,-0.537,-1.97,0.0488,0.128533475249946,94.203,6.558,19.727,1.25E-086,3.15E-084
SAM23877_RS00035,NZ_CP012382.1,6789,7175,-,387,NA,NA,NA,NA,NA,WP_053125584.1,WP_053125584.1,Q1RR81,hypothetical protein,Uncharacterized protein SAMT0004,0,1,1,3,22,0,1,2,32,10,19,17,14,False,1.4,2.4,2.4,3.4,5.9,6.4,5.7,5.5,5.3,4.8,2.4,1.4,3,0,0,0,0,1,1,1,1,0,0,0,0,0,0.639,-0.645,-1.80299999999999,0.0714,0.169626260891518,0.763,-0.39,-1.13999999999999,0.254209786919861,0.457291036116921,0.726,-0.462,-1.349,0.1774962614078,0.332634733089784,49.386,5.626,4.90899999999999,0.000000916,0.00000239
SAM23877_RS40955,NZ_CP012382.1,8056,8571,-,516,NA,NA,NA,NA,NA,WP_053125599.1,NA,NA,NUDIX hydrolase,NA,5,11,8,35,125,9,9,23,90,82,93,78,120,False,3.5,4.5,4.1,6.1,7.9,7.5,7.5,7.3,7.9,7.3,4.3,4.3,5.5,0,0,0,1,2,1,1,1,2,1,0,0,1,1.173,0.23,0.828999999999999,0.407048548900922,0.592210645234263,1.011,0.015,0.051,0.958968112066158,0.980188544885209,0.921,-0.119,-0.430999999999999,0.666125724496914,0.804438488584883,20.047,4.325,9.21899999999999,3.01E-020,2.52E-019
SAM23877_RS00050,NZ_CP012382.1,9142,9714,-,573,NA,NA,NA,NA,NA,WP_053125602.1,WP_053125602.1,Q1RR78,CGNR zinc finger domain-containing protein,Uncharacterized protein SAMT0007,76,60,42,47,62,101,92,27,50,68,148,92,60,False,7.1,6.7,6.2,6.4,6.8,6.5,8,7.3,6.7,6.9,7.3,7.5,5.6,1,1,1,1,1,1,2,1,1,1,1,2,1,1.126,0.171,0.638,0.523699245895575,0.695379147761058,2.388,1.256,3.38799999999999,0.000704,0.00582,1.545,0.628,2.04,0.0414,0.113425118773686,0.795,-0.33,-0.903,0.366296825244889,0.423385808293341
SAM23877_RS00055,NZ_CP012382.1,9866,10321,+,456,NA,NA,NA,NA,NA,WP_053125604.1,WP_053125604.1,Q1RR77,VOC family protein,Putative glyoxalase,60,91,200,177,80,62,76,20,1900,487,510,292,525,True_Repressed in HT (vs MM),7.1,7.7,8.8,8.6,7.5,12,10.1,9.3,10.2,10.1,7.4,7.1,5.5,1,2,2,2,1,3,3,2,3,3,1,1,1,0.295,-1.763,-5.85299999999999,0.00000000482,0.0000000871,0.299,-1.741,-5.482,0.0000000419,0.00000145,0.161,-2.634,-8.47799999999999,2.29E-017,1.51E-015,8.501,3.088,10.771,4.74E-027,5.94E-026
